yyyymm,month,tcomplaints
2013-01,1,4833
2013-02,2,3925
2013-03,3,8641
2013-04,4,5596
2013-05,5,6461
2013-06,6,6745
2013-07,7,3361
2013-08,8,2507
2013-09,9,4333
2013-10,10,4088
2013-11,11,3153
2013-12,12,4944
2014-01,13,8321
2014-02,14,12647
2014-03,15,13851
2014-04,16,11644
2014-05,17,13252
2014-06,18,11684
2014-07,19,7732
2014-08,20,5902
2014-09,21,5930
2014-10,22,5315
2014-11,23,4314
2014-12,24,6338
2015-01,25,6920
2015-02,26,9306
2015-03,27,24501
2015-04,28,16166
2015-05,29,11033
2015-06,30,11397
2015-07,31,8434
2015-08,32,8889
2015-09,33,6862
2015-10,34,6295
2015-11,35,4797
2015-12,36,5962
2016-01,37,6115
2016-02,38,9267
2016-03,39,11332
2016-04,40,8695
2016-05,41,3537
